arsenic,cadmium,lead,mercury
0.061,0.114,0.035,0.00018898324678034195
0.042,0.161,0.028,0.006172975196008622
0.063,0.077,0.018,0.00760968812640272
0.092,0.152,0.07,0.004634040304745127
0.072,0.147,0.078,0.009948819509388926
0.05,0.155,0.021,0.0015772204665183101
0.047,0.165,0.038,0.010932022814898882
5.5162833643537466e-05,9.156672593685978e-05,0.003676199988691728,0.0007459017522069337
0.057,0.0036117618330499365,0.385,0.0016291184186784475
0.119,0.074,0.148,4.8244217188571965e-05
0.01418885846343239,0.0036456774188860877,0.00039714710503514495,0.0045659699671271245
0.069,0.163,0.223,0.0018680322948120855
0.124,0.167,0.321,0.0060405053008157905
0.077,0.224,0.062,0.004859498481796997
0.087,0.29,0.069,0.006443504668083628
0.055,0.244,0.023,0.004558556656441354
0.04,0.218,0.017,0.0052400891688311035
0.066,0.269,0.038,0.0033524563177916703
0.071,0.212,0.05,0.008131518467554949
0.069,0.371,0.061,0.009598814218106372
0.055,0.22,0.021,0.00859255491019962
0.06,0.233,0.046,0.0038543979122844184
0.055,0.23,0.025,0.0032991738522356925
0.054,0.238,0.027,0.007945034004928655
0.051,0.256,0.025,0.007523487018590907
0.054,0.225,0.024,0.0014018961783085447
0.056,0.259,0.039,0.0031860304395599994
0.434,0.088,0.052,0.00807655186107543
0.051,0.135,0.025,0.009391747536820616
0.093,0.19,0.084,0.008360407376464927
0.044,0.158,0.021,0.004218417294529971
0.044,0.156,0.016,0.007766413779320827
0.074,0.159,0.095,0.007974718701995539
0.056,0.185,0.032,0.003971186140461464
0.046,0.164,0.018,0.004597469785849719
0.054,0.154,0.028,0.0010112509985928286
0.057,0.167,0.04,0.004279391963846775
0.05,0.174,0.015,0.007449602128558319
0.05,0.169,0.019,0.002735185212239515
0.041,0.162,0.02,0.005063341287189426
0.052,0.176,0.032,0.001062891464169603
0.044,0.083,0.064,0.013
0.092,0.011,0.054,0.0021936086790739612
0.012023421575588004,0.003743969225382657,0.0024170757283121743,0.0009999404204069215
0.013904109283425403,0.0027782898601014213,0.0036371432008953184,0.0062163860059983745
0.0002461742666402067,0.003197833209933451,0.086,0.0036694086887943886
0.0020833325208317,0.0005471797168646986,0.003809203486930422,0.009859189853205464
0.012991929955722969,0.0024506494532282315,0.0021255336333970607,0.005889501444114616
0.005931575042605236,0.0010152117148724766,0.002561012309517694,0.005629802174600822
0.010553348115639218,0.003682168032150436,0.0010320529007812774,0.010171593538395416
0.174,0.082,0.445,0.0013338146155792477
